epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,7279.35,2.03285,4.15144,3.44099,1.96302,0.49231,0.06403,0.04641,0.02474,0.47468,0.05596,0.03753,0.01692,2.06708,4.12952,3.27836,2.03064,6.24512e-05,6.24512e-05,6.24512e-05
50,7427.94,2.02654,4.14961,3.41949,1.96075,0.48556,0.06308,0.04841,0.02592,0.4822,0.05933,0.04279,0.01859,2.06326,4.118,3.26776,2.03394,6.12731e-05,6.12731e-05,6.12731e-05
51,7578.57,2.02317,4.14106,3.41509,1.95727,0.43448,0.0715,0.04783,0.02489,0.42979,0.0619,0.0399,0.01796,2.0531,4.10468,3.2499,2.03172,6.0095e-05,6.0095e-05,6.0095e-05
52,7728.05,2.03136,4.14406,3.40725,1.95336,0.48001,0.0668,0.04815,0.02533,0.44161,0.06219,0.04137,0.01769,2.05259,4.10706,3.24876,2.01952,5.89169e-05,5.89169e-05,5.89169e-05
53,7878.26,2.02369,4.13617,3.40538,1.95459,0.4379,0.07027,0.05053,0.02714,0.42967,0.0616,0.04249,0.01913,2.04269,4.10295,3.23406,2.01075,5.77388e-05,5.77388e-05,5.77388e-05
54,8028.17,2.01784,4.12152,3.40344,1.94766,0.45877,0.06799,0.05002,0.02629,0.44757,0.06006,0.04078,0.01801,2.05017,4.09817,3.22581,2.01548,5.65607e-05,5.65607e-05,5.65607e-05
55,8179,2.00767,4.11603,3.376,1.93914,0.45765,0.07363,0.05015,0.02671,0.44603,0.06471,0.04162,0.01848,2.0473,4.0912,3.23158,2.01179,5.53826e-05,5.53826e-05,5.53826e-05
56,8329.17,2.01004,4.11457,3.37659,1.934,0.43985,0.07315,0.05067,0.02598,0.43838,0.0633,0.04097,0.01817,2.04505,4.09076,3.23126,2.01235,5.42045e-05,5.42045e-05,5.42045e-05
57,8479.47,2.00239,4.11391,3.3593,1.92901,0.44332,0.07846,0.05185,0.02759,0.43097,0.06783,0.04247,0.01854,2.03017,4.08355,3.20689,2.00733,5.30264e-05,5.30264e-05,5.30264e-05
58,8629.64,1.99946,4.08743,3.35659,1.92685,0.41858,0.07269,0.05134,0.02746,0.39177,0.06531,0.04266,0.01905,2.03858,4.08874,3.20888,1.99447,5.18483e-05,5.18483e-05,5.18483e-05
59,8779.31,2.00311,4.09947,3.35936,1.93354,0.46662,0.06825,0.05394,0.02829,0.45637,0.06047,0.04594,0.01933,2.03169,4.08302,3.20169,2.00414,5.06702e-05,5.06702e-05,5.06702e-05
60,8928.95,2.00185,4.09085,3.35594,1.92692,0.46606,0.07677,0.05357,0.02872,0.44456,0.06965,0.04569,0.02026,2.03157,4.07695,3.1973,1.99354,4.94921e-05,4.94921e-05,4.94921e-05
61,9078.67,1.98709,4.09185,3.33218,1.91817,0.46617,0.07706,0.05674,0.03054,0.45775,0.07072,0.04781,0.02145,2.0271,4.06833,3.18026,1.98891,4.8314e-05,4.8314e-05,4.8314e-05
62,9228.83,2.00042,4.09757,3.32764,1.91626,0.43893,0.07475,0.05614,0.02965,0.43438,0.06863,0.04677,0.02085,2.02825,4.06538,3.18264,1.98374,4.71359e-05,4.71359e-05,4.71359e-05
63,9378.19,1.98273,4.07774,3.32816,1.90926,0.47934,0.077,0.05492,0.02944,0.45171,0.06914,0.0456,0.02004,2.01282,4.05701,3.17969,1.99047,4.59578e-05,4.59578e-05,4.59578e-05
64,9527.64,1.98793,4.07883,3.32043,1.90746,0.46686,0.07718,0.05803,0.03035,0.46199,0.06955,0.04846,0.02085,2.0126,4.05904,3.16755,1.97946,4.47797e-05,4.47797e-05,4.47797e-05
65,9676.53,1.96985,4.05356,3.33013,1.90627,0.42939,0.07731,0.05806,0.03078,0.42289,0.07139,0.04863,0.02138,2.02034,4.05459,3.17151,1.97505,4.36016e-05,4.36016e-05,4.36016e-05
66,9826.46,1.98346,4.05736,3.29886,1.90669,0.45806,0.07869,0.0578,0.03049,0.45541,0.07023,0.04742,0.02076,2.02203,4.04843,3.16925,1.98201,4.24235e-05,4.24235e-05,4.24235e-05
67,9975.55,1.97688,4.06736,3.31851,1.90681,0.42384,0.08208,0.06278,0.03257,0.41811,0.07565,0.05293,0.02268,2.01651,4.04866,3.16586,1.97189,4.12454e-05,4.12454e-05,4.12454e-05
68,10124.2,1.96146,4.05232,3.29213,1.90003,0.45441,0.08323,0.06154,0.03225,0.45112,0.07583,0.05145,0.0226,2.01115,4.0439,3.15213,1.97352,4.00673e-05,4.00673e-05,4.00673e-05
69,10273.6,1.96889,4.04759,3.29701,1.90401,0.44785,0.08314,0.06101,0.03267,0.43955,0.07589,0.05009,0.02251,2.00381,4.03899,3.14243,1.9721,3.88892e-05,3.88892e-05,3.88892e-05
70,10422.7,1.96682,4.05478,3.28746,1.89535,0.46951,0.08223,0.06067,0.03218,0.47937,0.0732,0.05046,0.02259,2.00651,4.04061,3.14309,1.96733,3.77111e-05,3.77111e-05,3.77111e-05
71,10572.2,1.96031,4.04466,3.26793,1.89426,0.43235,0.08218,0.0617,0.03332,0.42857,0.07493,0.05209,0.0229,1.99725,4.03608,3.12999,1.96473,3.6533e-05,3.6533e-05,3.6533e-05
72,10721.8,1.96947,4.04249,3.27121,1.89342,0.42523,0.08609,0.06464,0.03408,0.4169,0.07717,0.05471,0.02399,1.99628,4.03325,3.11962,1.96097,3.53549e-05,3.53549e-05,3.53549e-05
73,10871.6,1.95567,4.04095,3.29174,1.8931,0.41272,0.08855,0.06403,0.03433,0.407,0.07976,0.0538,0.02352,1.99559,4.02874,3.12489,1.96396,3.41768e-05,3.41768e-05,3.41768e-05
74,11021.1,1.95528,4.04027,3.26866,1.89191,0.4205,0.08473,0.06392,0.03391,0.41338,0.0777,0.05304,0.02393,1.99563,4.02591,3.12135,1.95875,3.29987e-05,3.29987e-05,3.29987e-05
75,11170.3,1.95786,4.02686,3.25942,1.88601,0.44733,0.08329,0.06385,0.03314,0.4571,0.07546,0.05251,0.0229,1.99708,4.02727,3.11793,1.95495,3.18206e-05,3.18206e-05,3.18206e-05
76,11319,1.94851,4.02716,3.25681,1.87924,0.42306,0.08592,0.06645,0.03502,0.41038,0.07885,0.05626,0.02419,1.99504,4.0219,3.11492,1.95372,3.06425e-05,3.06425e-05,3.06425e-05
77,11468.6,1.96402,4.01546,3.24538,1.88915,0.43531,0.08897,0.06537,0.03503,0.4298,0.08278,0.05534,0.02448,1.99289,4.01772,3.11304,1.95278,2.94644e-05,2.94644e-05,2.94644e-05
