epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,7010.21,1.34953,3.42775,0.33636,1.18715,1.28377,0.73819,0.55704,0.64676,0.39968,0.6219,0.3356,0.32112,0.13182,1.34766,2.72488,0.30582,1.10889,1.27862,0.0012674,0.0012674,0.0012674
39,7190.94,1.34742,3.39299,0.33411,1.17853,1.27832,0.74403,0.55731,0.64623,0.40002,0.62464,0.34178,0.32891,0.13672,1.34522,2.71342,0.30349,1.10386,1.26584,0.0012476,0.0012476,0.0012476
40,7371.39,1.33778,3.39725,0.33807,1.16995,1.27454,0.76599,0.55023,0.64503,0.39986,0.6215,0.33874,0.32365,0.1343,1.34254,2.71159,0.30375,1.10529,1.26646,0.0012278,0.0012278,0.0012278
41,7551.51,1.33198,3.3754,0.33448,1.16252,1.26931,0.73831,0.56653,0.65029,0.40301,0.63924,0.34303,0.33147,0.13948,1.3379,2.6748,0.30227,1.09684,1.26838,0.001208,0.001208,0.001208
42,7731.75,1.33398,3.34373,0.33065,1.16273,1.26991,0.75049,0.5672,0.65319,0.40383,0.61507,0.33963,0.32167,0.13351,1.3374,2.66926,0.30425,1.09163,1.26273,0.0011882,0.0011882,0.0011882
43,7912.28,1.32323,3.36508,0.3319,1.15184,1.26622,0.75998,0.55597,0.65145,0.40551,0.62775,0.33739,0.32594,0.13793,1.32226,2.66256,0.30123,1.08799,1.25323,0.0011684,0.0011684,0.0011684
44,8092.88,1.31358,3.3413,0.32848,1.13935,1.26456,0.74623,0.56751,0.65265,0.40566,0.64128,0.34384,0.33356,0.14142,1.32937,2.65249,0.30094,1.0771,1.25846,0.0011486,0.0011486,0.0011486
45,8273.46,1.32522,3.3151,0.32484,1.15271,1.26452,0.75533,0.57011,0.65957,0.40932,0.63805,0.35109,0.34025,0.14307,1.325,2.63169,0.29897,1.07178,1.25243,0.0011288,0.0011288,0.0011288
46,8453.9,1.3107,3.30551,0.3272,1.13043,1.25798,0.75134,0.56259,0.65476,0.41036,0.66582,0.33981,0.33992,0.1452,1.31453,2.62321,0.30122,1.07277,1.24736,0.001109,0.001109,0.001109
47,8634.65,1.30451,3.30989,0.32772,1.12674,1.25205,0.74857,0.57298,0.65966,0.41302,0.64303,0.35512,0.34162,0.14528,1.3125,2.59766,0.30262,1.05852,1.24912,0.0010892,0.0010892,0.0010892
48,8815.15,1.30721,3.23836,0.32684,1.13267,1.25251,0.75311,0.57031,0.66275,0.41635,0.63331,0.35183,0.34116,0.14671,1.30333,2.60912,0.2997,1.05875,1.23826,0.0010694,0.0010694,0.0010694
49,8995.62,1.30302,3.23897,0.32539,1.13281,1.25236,0.75247,0.56643,0.6594,0.41656,0.65698,0.35449,0.34721,0.15014,1.30052,2.57754,0.2995,1.05644,1.23473,0.0010496,0.0010496,0.0010496
50,9176.04,1.29959,3.27846,0.32325,1.11927,1.24812,0.75353,0.5798,0.66706,0.41897,0.6292,0.35808,0.3454,0.14993,1.30152,2.57318,0.2948,1.03883,1.2407,0.0010298,0.0010298,0.0010298
51,9356.26,1.29931,3.25567,0.3197,1.12354,1.24996,0.76896,0.56545,0.66521,0.41574,0.62385,0.35369,0.3391,0.1486,1.3147,2.5765,0.29476,1.04923,1.24376,0.00101,0.00101,0.00101
52,9536.54,1.2845,3.18648,0.31878,1.10694,1.24652,0.76465,0.56689,0.6651,0.41907,0.64281,0.35978,0.34939,0.1531,1.30024,2.56141,0.29646,1.05133,1.24019,0.0009902,0.0009902,0.0009902
53,9716.55,1.28374,3.17356,0.3164,1.10494,1.23901,0.76035,0.56933,0.6657,0.41889,0.65811,0.35253,0.34647,0.14955,1.29526,2.55509,0.29344,1.04257,1.23572,0.0009704,0.0009704,0.0009704
54,9897,1.28248,3.22038,0.32329,1.10513,1.24282,0.76289,0.56928,0.66564,0.41948,0.65154,0.35309,0.34846,0.15408,1.29595,2.55497,0.29732,1.04127,1.23742,0.0009506,0.0009506,0.0009506
55,10077.1,1.28204,3.15949,0.31683,1.10192,1.24078,0.7608,0.57611,0.67044,0.42101,0.65775,0.35351,0.34675,0.15283,1.30189,2.54621,0.29468,1.04251,1.23756,0.0009308,0.0009308,0.0009308
56,10257.2,1.27973,3.16638,0.31933,1.09799,1.24054,0.76964,0.5678,0.67053,0.4222,0.64326,0.35456,0.35088,0.15526,1.2947,2.53382,0.29456,1.03163,1.23588,0.000911,0.000911,0.000911
57,10437.4,1.27044,3.16493,0.31677,1.08625,1.2386,0.75768,0.58005,0.67337,0.42355,0.66514,0.35324,0.34962,0.15455,1.2846,2.52354,0.29263,1.02226,1.22771,0.0008912,0.0008912,0.0008912
58,10617.7,1.25987,3.146,0.31621,1.07987,1.2315,0.75831,0.5753,0.67005,0.4237,0.65503,0.3562,0.35044,0.15537,1.28318,2.52063,0.29251,1.02314,1.22816,0.0008714,0.0008714,0.0008714
59,10797.7,1.27413,3.1176,0.31678,1.08377,1.23503,0.76731,0.57931,0.67473,0.42567,0.64882,0.35987,0.34947,0.15635,1.28542,2.50949,0.2925,1.0203,1.22856,0.0008516,0.0008516,0.0008516
60,10978.3,1.26991,3.14286,0.31869,1.08283,1.23388,0.77069,0.57351,0.67483,0.42645,0.64996,0.35718,0.34812,0.15518,1.28379,2.50582,0.29086,1.02138,1.22892,0.0008318,0.0008318,0.0008318
61,11158.5,1.26318,3.11164,0.31429,1.07549,1.22844,0.76862,0.58068,0.67592,0.42831,0.65034,0.3589,0.3532,0.15897,1.28439,2.50295,0.29186,1.01386,1.22557,0.000812,0.000812,0.000812
62,11339.6,1.25879,3.066,0.31249,1.07354,1.22627,0.7653,0.58044,0.67566,0.42749,0.65506,0.35915,0.35328,0.15881,1.28025,2.49357,0.28976,1.01514,1.22411,0.0007922,0.0007922,0.0007922
63,11520.3,1.25292,3.10998,0.31552,1.06786,1.22608,0.77272,0.57841,0.6767,0.42993,0.6505,0.35915,0.35217,0.1598,1.27466,2.48753,0.29167,1.01065,1.22096,0.0007724,0.0007724,0.0007724
64,11701.1,1.24451,3.06823,0.31424,1.06113,1.21975,0.76912,0.58381,0.67592,0.42995,0.66507,0.35843,0.35793,0.16181,1.27391,2.47426,0.29099,1.00915,1.22332,0.0007526,0.0007526,0.0007526
65,11889.8,1.24908,3.05579,0.31177,1.05947,1.21846,0.76897,0.5839,0.68028,0.43061,0.68299,0.35709,0.36016,0.16267,1.28033,2.4589,0.28807,1.0041,1.22298,0.0007328,0.0007328,0.0007328
66,12074.3,1.24659,3.05513,0.3118,1.06289,1.21783,0.77804,0.58003,0.67776,0.4292,0.65254,0.36309,0.35421,0.1615,1.27632,2.46508,0.29146,1.00456,1.22294,0.000713,0.000713,0.000713
67,12258,1.23447,3.07692,0.31362,1.05018,1.21962,0.77716,0.58086,0.6813,0.43344,0.65131,0.36428,0.35811,0.16326,1.26957,2.44294,0.28956,0.9999,1.21563,0.0006932,0.0006932,0.0006932
68,12442.1,1.2446,3.0277,0.31247,1.05689,1.21864,0.77492,0.58283,0.68153,0.43329,0.66315,0.36103,0.3571,0.16325,1.27016,2.44837,0.2896,0.99468,1.21468,0.0006734,0.0006734,0.0006734
69,12625.9,1.24117,2.98676,0.30821,1.04414,1.21352,0.77212,0.58889,0.68398,0.43433,0.66458,0.36121,0.35903,0.16564,1.26957,2.43901,0.29036,0.98918,1.21885,0.0006536,0.0006536,0.0006536
70,12816,1.23411,3.02508,0.30935,1.04164,1.2147,0.77186,0.58426,0.6823,0.43624,0.66908,0.35991,0.35969,0.1657,1.26569,2.44049,0.28926,0.98876,1.21712,0.0006338,0.0006338,0.0006338
71,13008.8,1.22526,3.00175,0.30873,1.03741,1.20631,0.7723,0.58694,0.6822,0.43615,0.67171,0.36273,0.3636,0.16856,1.26077,2.42785,0.28932,0.98688,1.21063,0.000614,0.000614,0.000614
72,13197.3,1.23027,2.99272,0.31107,1.03529,1.21227,0.77248,0.59035,0.68506,0.43729,0.67374,0.36426,0.36322,0.1673,1.26104,2.42258,0.28796,0.98619,1.21218,0.0005942,0.0005942,0.0005942
73,13386.9,1.22595,2.94648,0.30729,1.02742,1.20478,0.77613,0.58936,0.68546,0.4377,0.66184,0.36578,0.36433,0.16802,1.26056,2.4163,0.28694,0.98417,1.20962,0.0005744,0.0005744,0.0005744
74,13576.5,1.22593,2.97572,0.31002,1.02636,1.2058,0.76809,0.59384,0.68668,0.43846,0.66758,0.36569,0.36241,0.1665,1.2595,2.42245,0.28922,0.9795,1.21073,0.0005546,0.0005546,0.0005546
75,13762,1.22582,2.95194,0.30651,1.02493,1.20671,0.77037,0.59267,0.68729,0.43975,0.67063,0.36828,0.36542,0.16934,1.25645,2.41141,0.28663,0.97901,1.20902,0.0005348,0.0005348,0.0005348
76,13947.5,1.21185,2.92617,0.30619,1.01549,1.19553,0.77494,0.59169,0.68727,0.43992,0.67185,0.36574,0.36562,0.16848,1.25366,2.41118,0.28779,0.97632,1.20889,0.000515,0.000515,0.000515
77,14132.8,1.21462,2.96031,0.30268,1.0158,1.19982,0.77109,0.59124,0.68715,0.43969,0.66781,0.36775,0.36617,0.16847,1.25667,2.41692,0.28809,0.97788,1.21044,0.0004952,0.0004952,0.0004952
78,14317.4,1.21401,2.93072,0.30574,1.00977,1.20126,0.76908,0.59679,0.68875,0.441,0.68182,0.36687,0.36831,0.17002,1.25484,2.40803,0.28946,0.97358,1.21079,0.0004754,0.0004754,0.0004754
79,14502.3,1.20603,2.89845,0.30594,1.00395,1.19424,0.77756,0.59314,0.69024,0.4426,0.67421,0.36658,0.36642,0.17186,1.25195,2.39757,0.28861,0.96968,1.20601,0.0004556,0.0004556,0.0004556
80,14687.4,1.19762,2.93102,0.30472,1.00776,1.19557,0.77522,0.59124,0.68997,0.44175,0.68817,0.36184,0.36597,0.17014,1.25202,2.39857,0.2908,0.97058,1.20681,0.0004358,0.0004358,0.0004358
